#,Symbol,Signal,Entry,Exit,Reason,Alloc_EUR,Pyr_EUR,Ret%,PnL_EUR,PnL_Pyr_EUR,Hold_d,W/L
81,COST,ema_cross,2023-01-24,2023-03-06,ema_cross,4230,0,-1.7,-70,0,41,L
82,TSLA,rsi_macd,2022-12-01,2023-04-21,ema_cross,7626,0,-16.2,-1238,0,141,L
83,ADBE,rsi_macd,2023-03-06,2023-05-09,ema_cross,5430,0,-0.5,-26,0,64,L
84,INTC,rsi_macd,2023-05-01,2023-05-25,ema_cross,5176,0,-11.6,-598,0,24,L
85,QCOM,rsi_macd,2023-05-30,2023-08-16,ema_cross,3716,882,-5.7,-262,-146,78,L
86,PLTR,rsi_macd,2023-05-10,2023-09-21,ema_cross,5358,1273,38.7,2566,216,134,W
87,AVGO,rsi_macd,2023-08-22,2023-09-26,ema_cross,3506,0,-6.0,-212,0,35,L
88,NVDA,ema_cross,2023-01-13,2023-09-29,ema_cross,8135,8135,149.2,24268,10662,259,W
89,NKE,rsi_macd,2023-10-02,2023-10-27,ema_cross,18338,0,1.8,339,0,25,W
90,PFE,rsi_macd,2023-10-03,2023-12-28,grace_exit,22006,0,-13.8,-3030,0,86,L
91,UNH,ema_cross,2023-09-22,2024-01-18,ema_cross,8059,0,3.8,308,0,118,W
92,NESN.SW,rsi_macd,2024-01-04,2024-03-28,grace_exit,15374,0,-3.1,-470,0,84,L
93,UBER,rsi_macd,2023-11-01,2024-04-24,ema_cross,19343,4594,56.2,13446,1773,175,W
94,ASML,rsi_macd,2024-01-18,2024-05-01,ema_cross,9768,2320,14.4,1737,-34,104,W
95,UNH,rsi_macd,2024-04-17,2024-06-20,ema_cross,12021,0,1.7,200,0,64,W
96,LLY,rsi_macd,2023-03-14,2024-08-05,ema_cross,6516,1548,135.4,10917,1690,510,W
97,XLU,rsi_macd,2024-06-21,2024-12-17,ema_cross,13281,180,10.9,1467,-8,179,W
98,TSLA,ema_cross,2024-05-01,2025-02-14,ema_cross,17522,3154,90.5,18702,1973,289,W
99,OR.PA,ema_cross,2024-12-18,2025-02-18,ema_cross,11951,0,-0.9,-106,0,62,L
100,SHOP,rsi_macd,2024-08-08,2025-03-10,ema_cross,15191,3608,40.6,7633,894,214,W
101,SAP,rsi_macd,2024-04-24,2025-04-04,ema_cross,32310,158,33.4,10835,27,345,W
102,MC.PA,rsi_macd,2025-05-13,2025-08-05,grace_exit,19095,0,-14.2,-2709,0,84,L
103,BTC-USD,rsi_macd,2025-03-03,2025-08-29,ema_cross,21685,227,14.9,3255,-3,179,W
104,BTC-USD,rsi_macd,2025-03-06,2025-08-29,ema_cross,26022,26022,11.6,6027,922,176,W
105,PFE,rsi_macd,2025-08-06,2025-09-22,ema_cross,13119,0,-2.6,-340,0,47,L
