ticker,type,entry_date,exit_date,exit_reason,pnl_eur,pnl_pct,bars_held,ticker_class,pit_rule,sp500_member,dollar_vol_at_entry,entry_price,position_eur,max_r_mult,strike,entry_option_price,spread_pct
NKE,stock,2025-07-30,2025-09-09,trailing_stop,-31.44,-5.1,28,us_stock,sp500,True,1042180936.0,76.44,617.02,0.36,,,
PPLT,stock,2025-09-04,2025-09-17,trailing_stop,-0.0,-0.0,9,etf,etf_inception,,26373159.0,126.65,705.83,0.29,,,
TIP,stock,2025-09-02,2025-09-25,trailing_stop,2.38,0.34,17,etf,etf_inception,,250204001.0,109.38,708.57,1.97,,,
AVGO,stock,2025-09-09,2025-09-25,trailing_stop,-35.8,-5.09,12,us_stock,sp500,True,5773318569.0,348.63,702.69,0.74,,,
EWZ,stock,2025-09-02,2025-10-07,trailing_stop,21.33,3.01,25,etf,etf_inception,,596310468.0,27.88,708.57,2.38,,,
HAL,stock,2025-09-25,2025-10-08,trailing_stop,-0.0,-0.0,9,us_stock,sp500,True,293682232.0,23.91,699.35,0.59,,,
VWO,stock,2025-09-17,2025-10-10,trailing_stop,-16.55,-2.36,17,etf,etf_inception,,403192511.0,53.23,702.69,0.82,,,
0700.HK,stock,2025-08-18,2025-10-14,trailing_stop,31.82,4.55,39,asia_stock,dollar_vol,,11775241722.0,594.59,699.04,3.02,,,
BITO,stock,2025-10-08,2025-10-17,emergency_stop,-105.82,-15.09,7,etf,etf_inception,,140496781.0,17.17,701.48,0.0,,,
GDX,stock,2025-08-11,2025-10-21,trailing_stop,219.5,31.47,50,etf,etf_inception,,882843059.0,56.24,697.59,9.93,,,
LMT,stock,2025-08-28,2025-10-21,trailing_stop,50.72,7.26,37,us_stock,sp500,True,685680437.0,445.27,699.04,4.69,,,
CSCO,stock,2025-10-10,2025-10-23,trailing_stop,-0.0,-0.0,9,us_stock,sp500,True,1259507278.0,70.11,699.82,0.11,,,
GDXJ,stock,2025-10-20,2025-10-27,emergency_stop,-104.45,-15.08,5,etf,etf_inception,,315879539.0,104.17,692.42,0.0,,,
PEP,stock,2025-10-14,2025-10-29,trailing_stop,-0.0,-0.0,11,us_stock,sp500,True,1096240619.0,146.09,703.01,0.91,,,
AGG,stock,2025-10-23,2025-11-05,trailing_stop,-5.34,-0.74,9,etf,etf_inception,,831136525.0,99.58,719.45,0.11,,,
LSEG.L,stock,2025-10-27,2025-11-07,trailing_stop,-36.12,-5.09,9,eu_stock,dollar_vol,,13471476104.0,9817.81,709.0,0.0,,,
AMZN,stock,2025-11-04,2025-11-17,trailing_stop,-49.37,-5.1,9,us_stock,sp500,True,9517030288.0,250.63,968.97,0.0,,,
SRE,stock,2025-09-25,2025-12-08,trailing_stop,16.1,2.3,51,us_stock,sp500,True,315901651.0,85.41,699.35,2.3,,,
SOYB,stock,2025-10-29,2025-12-09,trailing_stop,-0.0,-0.0,28,etf,etf_inception,,833062.0,22.76,709.0,2.24,,,
UNG,stock,2025-11-17,2025-12-09,trailing_stop,-0.0,-0.0,15,etf,etf_inception,,142326464.0,14.51,959.89,1.77,,,
WELL,stock,2025-11-11,2025-12-10,trailing_stop,-0.0,-0.0,20,us_stock,sp500,True,447479835.0,190.92,964.83,1.82,,,
CRM,stock,2025-12-09,2025-12-22,trailing_stop,-0.0,-0.0,9,us_stock,sp500,True,2076435700.0,259.84,961.5,0.32,,,
PPLT,stock,2025-12-11,2025-12-29,trailing_stop,250.92,26.1,11,etf,etf_inception,,37955268.0,152.03,961.5,8.71,,,
META,stock,2025-12-08,2026-01-02,trailing_stop,-26.15,-2.72,17,us_stock,sp500,True,9985882638.0,668.89,961.5,0.0,,,
VWO,stock,2026-01-06,2026-01-20,trailing_stop,-0.0,-0.0,9,etf,etf_inception,,443059388.0,55.67,1092.01,0.67,,,
CPER,stock,2025-10-07,2026-01-30,trailing_stop,107.81,15.37,79,etf,etf_inception,,6440734.0,31.54,701.48,6.72,,,
DBB,stock,2025-12-09,2026-01-30,trailing_stop,110.13,11.45,35,etf,etf_inception,,1503325.0,21.57,961.5,7.68,,,
BLK,stock,2026-01-20,2026-02-03,trailing_stop,-55.64,-5.1,10,us_stock,sp500,True,710059080.0,1138.8,1092.01,0.0,,,
NOVO-B.CO,stock,2025-12-30,2026-02-04,trailing_stop,79.72,8.08,24,eu_stock,dollar_vol,,2379477115.0,325.32,986.59,3.36,,,
CSCO,stock,2026-02-04,2026-02-18,trailing_stop,-56.87,-5.09,9,us_stock,sp500,True,1415036066.0,84.06,1116.21,0.76,,,
ASML,stock,2026-01-06,2026-03-03,trailing_stop,137.42,12.58,38,eu_stock,dollar_vol,,1330239989.0,1222.43,1092.01,4.86,,,
VOLV-B.ST,stock,2026-01-30,2026-03-03,trailing_stop,40.33,3.62,22,eu_stock,dollar_vol,,969880990.0,322.72,1113.8,2.26,,,
SHY,stock,2025-05-02,2026-03-05,trailing_stop,20.34,3.03,210,etf,etf_inception,,309941707.0,80.18,672.21,11.12,,,
KO,stock,2025-10-23,2026-03-05,trailing_stop,65.65,9.12,90,us_stock,sp500,True,1116737110.0,69.91,719.45,5.23,,,
PLD,stock,2025-10-22,2026-03-09,trailing_stop,41.17,5.72,93,us_stock,sp500,True,448095202.0,124.38,719.45,2.78,,,
T,stock,2026-02-03,2026-03-12,trailing_stop,26.29,2.37,26,us_stock,sp500,True,1045774867.0,26.14,1108.24,2.5,,,
SOYB,stock,2026-01-30,2026-03-16,trailing_stop,73.48,6.6,30,etf,etf_inception,,1417807.0,22.32,1113.8,5.54,,,
SO,stock,2026-03-03,2026-03-18,trailing_stop,-0.0,-0.0,11,us_stock,sp500,True,491340495.0,96.76,1204.0,0.57,,,
BMY,stock,2026-03-03,2026-03-19,trailing_stop,-59.5,-4.94,12,us_stock,sp500,True,707732969.0,61.63,1204.0,0.28,,,
WEC,stock,2026-03-06,2026-03-19,trailing_stop,-0.0,-0.0,9,us_stock,sp500,True,235996123.0,115.64,1212.6,0.56,,,
EXC,stock,2026-02-18,2026-03-19,end_of_data,9.79,0.88,21,us_stock,sp500,True,322637068.0,47.59,1110.52,1.12,,,
ERIC-B.ST,stock,2026-03-03,2026-03-19,end_of_data,35.81,2.97,12,eu_stock,dollar_vol,,548924373.0,104.1,1204.0,1.86,,,
CORN,stock,2026-03-09,2026-03-19,end_of_data,12.49,1.03,8,etf,etf_inception,,1309421.0,18.64,1216.71,0.48,,,
AMD,option,2024-07-10,2024-10-01,dte_exit,-1001.94,-73.65,58,us_stock,sp500,True,8621403368.0,,,,170.99,23.05,3.0
MS,option,2024-07-15,2024-10-01,dte_exit,-10.12,-0.74,55,us_stock,sp500,True,571271516.0,,,,93.93,7.45,3.0
EQIX,option,2024-10-29,2025-01-07,dte_exit,369.85,29.95,47,us_stock,sp500,True,393691040.0,,,,838.41,63.55,3.0
INTC,option,2024-11-08,2025-02-04,dte_exit,-1205.47,-98.63,57,us_stock,sp500,True,1730400782.0,,,,24.7,3.72,3.0
TGT,option,2025-01-08,2025-04-01,dte_exit,-1298.08,-99.42,56,us_stock,sp500,True,644952836.0,,,,125.18,12.81,3.0
SPG,option,2025-02-13,2025-05-06,dte_exit,-650.26,-58.77,56,us_stock,sp500,True,210866734.0,,,,164.98,14.38,3.0
SMH,option,2025-06-11,2025-09-02,dte_exit,332.55,39.39,56,etf,etf_inception,,1774809166.0,,,,249.64,26.54,3.0
QCOM,option,2025-06-11,2025-09-02,dte_exit,-387.1,-45.85,56,us_stock,sp500,True,1406700982.0,,,,149.41,20.09,3.0
GLD,option,2025-09-03,2025-11-04,dte_exit,1223.36,123.8,44,etf,etf_inception,,2522097050.0,,,,311.37,23.65,3.0
SLV,option,2025-09-03,2025-11-04,dte_exit,1376.37,139.29,44,etf,etf_inception,,624867924.0,,,,35.46,3.17,3.0
LLY,option,2025-11-05,2026-01-06,dte_exit,1283.49,94.67,41,us_stock,sp500,True,3133365919.0,,,,862.74,103.43,3.0
BATS.L,option,2025-11-05,2026-01-06,dte_exit,-203.18,-14.99,41,eu_stock,dollar_vol,,16731013111.0,,,,3798.64,318.35,10.0
SBUX,option,2025-12-22,2026-03-03,dte_exit,757.05,56.24,47,us_stock,sp500,True,909396469.0,,,,83.22,8.9,3.0
EEM,option,2026-01-06,2026-03-19,end_of_data,-298.99,-19.56,50,etf,etf_inception,,1238700244.0,,,,54.31,4.11,3.0
