entry_date,exit_date,ticker,trade_type,entry_price,exit_price,strike,position_eur,units,pnl_eur,pnl_pct,bars_held,max_r_mult,exit_reason
2020-04-21,2020-07-31,XBI,stock,93.07,107.11,,904.0,9.7164,136.42,15.09,71,3.67,trailing_stop
2020-05-04,2020-06-26,META,stock,199.01,216.96,,904.0,4.544,81.58,9.02,38,2.57,trailing_stop
2020-05-05,2020-08-21,OR.PA,stock,231.4,254.32,,750.0,3.2404,74.27,9.91,78,2.32,trailing_stop
2020-05-05,2020-10-27,NESTE.HE,stock,25.7,39.3,,750.0,29.1705,396.72,52.91,123,5.95,trailing_stop
2020-05-07,2020-05-20,NAB.AX,stock,12.64,12.0,,750.0,59.3123,-38.2,-5.1,9,0.0,trailing_stop
2020-05-07,2020-05-27,NOW,stock,73.87,73.87,,750.0,10.1508,-0.0,-0.0,13,0.6,trailing_stop
2020-05-13,2020-05-27,LSEG.L,stock,8048.83,8048.83,,750.0,0.0932,-0.0,-0.0,9,0.92,trailing_stop
2020-05-14,2020-07-27,PDD,stock,58.44,78.02,,750.0,12.8308,251.2,33.5,50,6.24,trailing_stop
2020-05-18,2020-08-04,SLV,option_us,1.58,9.04,15.15,1050.0,6.65,4962.83,472.77,54,4.73,dte_exit
2020-05-20,2020-08-28,BHP.AX,stock,20.38,22.28,,746.0,36.5982,69.35,9.3,71,2.71,trailing_stop
2020-05-28,2020-06-11,INGA.AS,stock,4.3,4.46,,746.0,173.6593,28.7,3.85,10,1.73,trailing_stop
2020-05-28,2020-06-15,DBK.DE,stock,7.09,7.09,,746.0,105.1847,-0.0,-0.0,11,1.48,trailing_stop
2020-06-11,2020-07-16,AMZN,stock,130.31,145.96,,749.0,5.747,89.95,12.01,24,4.98,trailing_stop
2020-06-18,2020-07-27,BIDU,stock,122.15,115.93,,749.0,6.1306,-38.15,-5.1,26,1.17,trailing_stop
2020-07-02,2020-08-07,CPER,stock,17.25,17.59,,766.0,44.4,15.33,2.0,25,2.41,trailing_stop
2020-07-02,2020-08-11,AGG,stock,100.26,100.94,,766.0,7.6381,5.25,0.69,27,3.14,trailing_stop
2020-07-16,2020-07-30,RIO,stock,38.41,38.41,,775.0,20.1716,-0.0,-0.0,10,0.72,trailing_stop
2020-07-27,2020-09-01,ULVR.L,stock,4986.68,4732.61,,796.0,0.1596,-40.56,-5.1,25,0.44,trailing_stop
2020-07-28,2020-08-13,EWT,stock,29.89,29.89,,796.0,26.6364,-0.0,-0.0,12,0.75,trailing_stop
2020-07-31,2020-10-06,RI.PA,option_eu,10.5,1.41,119.01,1134.0,1.08,-981.43,-86.58,47,0.02,dte_exit
2020-08-03,2020-10-06,QCOM,option_us,13.02,16.99,90.15,1134.0,0.87,345.47,30.48,45,0.72,dte_exit
2020-08-04,2020-09-01,NOK,stock,4.53,4.3,,1306.0,288.1852,-66.54,-5.1,20,0.13,trailing_stop
2020-08-07,2020-11-03,DIS,option_us,14.43,5.19,120.86,1831.0,1.27,-1171.51,-64.0,61,0.11,dte_exit
2020-08-11,2020-09-08,META,stock,258.64,267.37,,1308.0,5.0574,44.12,3.37,19,2.46,trailing_stop
2020-08-13,2020-09-21,EMR,stock,63.06,59.85,,1308.0,20.7428,-66.65,-5.1,26,0.0,trailing_stop
2020-08-21,2020-09-03,JD,stock,67.72,69.89,,1315.0,19.4243,42.17,3.21,9,1.62,trailing_stop
2020-08-28,2020-09-24,SOYB,stock,15.01,15.49,,1322.0,88.0733,41.48,3.14,18,3.56,trailing_stop
2020-09-01,2020-09-21,INTC,stock,45.74,43.96,,1312.0,28.6792,-51.05,-3.89,13,0.72,trailing_stop
2020-09-02,2020-09-21,CPER,stock,18.71,18.71,,1312.0,70.1124,-0.0,-0.0,12,0.75,trailing_stop
2020-09-04,2020-09-24,KO,stock,42.88,40.7,,1316.0,30.6856,-67.05,-5.1,13,0.25,trailing_stop
2020-09-08,2020-12-01,CBK.DE,option_eu,0.66,0.75,4.47,1848.0,27.92,257.04,13.91,60,0.24,dte_exit
2020-10-05,2020-10-23,DUK,stock,73.5,73.49,,1306.0,17.7701,-0.0,-0.0,14,0.63,trailing_stop
